number,name,type1,type2,total,hp,attack,defense,sp_atk,sp_def,speed,legendary,generation,image_url
340,Whiscash,Water,Ground,468,110,78,73,76,71,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/whiscash.png
341,Corphish,Water,NA,308,43,80,65,50,35,35,FALSE,3,https://img.pokemondb.net/sprites/home/normal/corphish.png
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,FALSE,3,https://img.pokemondb.net/sprites/home/normal/crawdaunt.png
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,FALSE,3,https://img.pokemondb.net/sprites/home/normal/baltoy.png
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,FALSE,3,https://img.pokemondb.net/sprites/home/normal/claydol.png
345,Lileep,Rock,Grass,355,66,41,77,61,87,23,FALSE,3,https://img.pokemondb.net/sprites/home/normal/lileep.png
346,Cradily,Rock,Grass,495,86,81,97,81,107,43,FALSE,3,https://img.pokemondb.net/sprites/home/normal/cradily.png
347,Anorith,Rock,Bug,355,45,95,50,40,50,75,FALSE,3,https://img.pokemondb.net/sprites/home/normal/anorith.png
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,FALSE,3,https://img.pokemondb.net/sprites/home/normal/armaldo.png
349,Feebas,Water,NA,200,20,15,20,10,55,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/feebas.png
350,Milotic,Water,NA,540,95,60,79,100,125,81,FALSE,3,https://img.pokemondb.net/sprites/home/normal/milotic.png
351,Castform,Normal,NA,420,70,70,70,70,70,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/castform.png
351,Castform Sunny Form,Fire,NA,420,70,70,70,70,70,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/castform-sunny-form.png
351,Castform Rainy Form,Water,NA,420,70,70,70,70,70,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/castform-rainy-form.png
351,Castform Snowy Form,Ice,NA,420,70,70,70,70,70,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/castform-snowy-form.png
352,Kecleon,Normal,NA,440,60,90,70,60,120,40,FALSE,3,https://img.pokemondb.net/sprites/home/normal/kecleon.png
353,Shuppet,Ghost,NA,295,44,75,35,63,33,45,FALSE,3,https://img.pokemondb.net/sprites/home/normal/shuppet.png
354,Banette,Ghost,NA,455,64,115,65,83,63,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/banette.png
354,Banette Mega Banette,Ghost,NA,555,64,165,75,93,83,75,FALSE,3,https://img.pokemondb.net/sprites/home/normal/banette-mega-banette.png
355,Duskull,Ghost,NA,295,20,40,90,30,90,25,FALSE,3,https://img.pokemondb.net/sprites/home/normal/duskull.png
356,Dusclops,Ghost,NA,455,40,70,130,60,130,25,FALSE,3,https://img.pokemondb.net/sprites/home/normal/dusclops.png
357,Tropius,Grass,Flying,460,99,68,83,72,87,51,FALSE,3,https://img.pokemondb.net/sprites/home/normal/tropius.png
358,Chimecho,Psychic,NA,455,75,50,80,95,90,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/chimecho.png
359,Absol,Dark,NA,465,65,130,60,75,60,75,FALSE,3,https://img.pokemondb.net/sprites/home/normal/absol.png
359,Absol Mega Absol,Dark,NA,565,65,150,60,115,60,115,FALSE,3,https://img.pokemondb.net/sprites/home/normal/absol-mega-absol.png
360,Wynaut,Psychic,NA,260,95,23,48,23,48,23,FALSE,3,https://img.pokemondb.net/sprites/home/normal/wynaut.png
361,Snorunt,Ice,NA,300,50,50,50,50,50,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/snorunt.png
362,Glalie,Ice,NA,480,80,80,80,80,80,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/glalie.png
362,Glalie Mega Glalie,Ice,NA,580,80,120,80,120,80,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/glalie-mega-glalie.png
363,Spheal,Ice,Water,290,70,40,50,55,50,25,FALSE,3,https://img.pokemondb.net/sprites/home/normal/spheal.png
364,Sealeo,Ice,Water,410,90,60,70,75,70,45,FALSE,3,https://img.pokemondb.net/sprites/home/normal/sealeo.png
365,Walrein,Ice,Water,530,110,80,90,95,90,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/walrein.png
366,Clamperl,Water,NA,345,35,64,85,74,55,32,FALSE,3,https://img.pokemondb.net/sprites/home/normal/clamperl.png
367,Huntail,Water,NA,485,55,104,105,94,75,52,FALSE,3,https://img.pokemondb.net/sprites/home/normal/huntail.png
368,Gorebyss,Water,NA,485,55,84,105,114,75,52,FALSE,3,https://img.pokemondb.net/sprites/home/normal/gorebyss.png
369,Relicanth,Water,Rock,485,100,90,130,45,65,55,FALSE,3,https://img.pokemondb.net/sprites/home/normal/relicanth.png
370,Luvdisc,Water,NA,330,43,30,55,40,65,97,FALSE,3,https://img.pokemondb.net/sprites/home/normal/luvdisc.png
371,Bagon,Dragon,NA,300,45,75,60,40,30,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/bagon.png
372,Shelgon,Dragon,NA,420,65,95,100,60,50,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/shelgon.png
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/salamence.png
373,Salamence Mega Salamence,Dragon,Flying,700,95,145,130,120,90,120,FALSE,3,https://img.pokemondb.net/sprites/home/normal/salamence-mega-salamence.png
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,FALSE,3,https://img.pokemondb.net/sprites/home/normal/beldum.png
375,Metang,Steel,Psychic,420,60,75,100,55,80,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/metang.png
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/metagross.png
376,Metagross Mega Metagross,Steel,Psychic,700,80,145,150,105,110,110,FALSE,3,https://img.pokemondb.net/sprites/home/normal/metagross-mega-metagross.png
377,Regirock,Rock,NA,580,80,100,200,50,100,50,TRUE,3,https://img.pokemondb.net/sprites/home/normal/regirock.png
378,Regice,Ice,NA,580,80,50,100,100,200,50,TRUE,3,https://img.pokemondb.net/sprites/home/normal/regice.png
379,Registeel,Steel,NA,580,80,75,150,75,150,50,TRUE,3,https://img.pokemondb.net/sprites/home/normal/registeel.png
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,TRUE,3,https://img.pokemondb.net/sprites/home/normal/latias.png
380,Latias Mega Latias,Dragon,Psychic,700,80,100,120,140,150,110,FALSE,3,https://img.pokemondb.net/sprites/home/normal/latias-mega-latias.png
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,TRUE,3,https://img.pokemondb.net/sprites/home/normal/latios.png
381,Latios Mega Latios,Dragon,Psychic,700,80,130,100,160,120,110,FALSE,3,https://img.pokemondb.net/sprites/home/normal/latios-mega-latios.png
382,Kyogre,Water,NA,670,100,100,90,150,140,90,TRUE,3,https://img.pokemondb.net/sprites/home/normal/kyogre.png
382,Kyogre Primal Kyogre,Water,NA,770,100,150,90,180,160,90,FALSE,3,https://img.pokemondb.net/sprites/home/normal/kyogre-primal-kyogre.png
383,Groudon,Ground,NA,670,100,150,140,100,90,90,TRUE,3,https://img.pokemondb.net/sprites/home/normal/groudon.png
383,Groudon Primal Groudon,Ground,Fire,770,100,180,160,150,90,90,FALSE,3,https://img.pokemondb.net/sprites/home/normal/groudon-primal-groudon.png
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,TRUE,3,https://img.pokemondb.net/sprites/home/normal/rayquaza.png
384,Rayquaza Mega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,FALSE,3,https://img.pokemondb.net/sprites/home/normal/rayquaza-mega-rayquaza.png
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,TRUE,3,https://img.pokemondb.net/sprites/home/normal/jirachi.png
386,Deoxys Normal Forme,Psychic,NA,600,50,150,50,150,50,150,FALSE,3,https://img.pokemondb.net/sprites/home/normal/deoxys-normal-forme.png
386,Deoxys Attack Forme,Psychic,NA,600,50,180,20,180,20,150,FALSE,3,https://img.pokemondb.net/sprites/home/normal/deoxys-attack-forme.png
386,Deoxys Defense Forme,Psychic,NA,600,50,70,160,70,160,90,FALSE,3,https://img.pokemondb.net/sprites/home/normal/deoxys-defense-forme.png
386,Deoxys Speed Forme,Psychic,NA,600,50,95,90,95,90,180,FALSE,3,https://img.pokemondb.net/sprites/home/normal/deoxys-speed-forme.png
387,Turtwig,Grass,NA,318,55,68,64,45,55,31,FALSE,4,https://img.pokemondb.net/sprites/home/normal/turtwig.png
388,Grotle,Grass,NA,405,75,89,85,55,65,36,FALSE,4,https://img.pokemondb.net/sprites/home/normal/grotle.png
389,Torterra,Grass,Ground,525,95,109,105,75,85,56,FALSE,4,https://img.pokemondb.net/sprites/home/normal/torterra.png
390,Chimchar,Fire,NA,309,44,58,44,58,44,61,FALSE,4,https://img.pokemondb.net/sprites/home/normal/chimchar.png
391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,FALSE,4,https://img.pokemondb.net/sprites/home/normal/monferno.png
392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,FALSE,4,https://img.pokemondb.net/sprites/home/normal/infernape.png
393,Piplup,Water,NA,314,53,51,53,61,56,40,FALSE,4,https://img.pokemondb.net/sprites/home/normal/piplup.png
394,Prinplup,Water,NA,405,64,66,68,81,76,50,FALSE,4,https://img.pokemondb.net/sprites/home/normal/prinplup.png
395,Empoleon,Water,Steel,530,84,86,88,111,101,60,FALSE,4,https://img.pokemondb.net/sprites/home/normal/empoleon.png
396,Starly,Normal,Flying,245,40,55,30,30,30,60,FALSE,4,https://img.pokemondb.net/sprites/home/normal/starly.png
397,Staravia,Normal,Flying,340,55,75,50,40,40,80,FALSE,4,https://img.pokemondb.net/sprites/home/normal/staravia.png
398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,FALSE,4,https://img.pokemondb.net/sprites/home/normal/staraptor.png
399,Bidoof,Normal,NA,250,59,45,40,35,40,31,FALSE,4,https://img.pokemondb.net/sprites/home/normal/bidoof.png
400,Bibarel,Normal,Water,410,79,85,60,55,60,71,FALSE,4,https://img.pokemondb.net/sprites/home/normal/bibarel.png
401,Kricketot,Bug,NA,194,37,25,41,25,41,25,FALSE,4,https://img.pokemondb.net/sprites/home/normal/kricketot.png
402,Kricketune,Bug,NA,384,77,85,51,55,51,65,FALSE,4,https://img.pokemondb.net/sprites/home/normal/kricketune.png
403,Shinx,Electric,NA,263,45,65,34,40,34,45,FALSE,4,https://img.pokemondb.net/sprites/home/normal/shinx.png
404,Luxio,Electric,NA,363,60,85,49,60,49,60,FALSE,4,https://img.pokemondb.net/sprites/home/normal/luxio.png
405,Luxray,Electric,NA,523,80,120,79,95,79,70,FALSE,4,https://img.pokemondb.net/sprites/home/normal/luxray.png
406,Budew,Grass,Poison,280,40,30,35,50,70,55,FALSE,4,https://img.pokemondb.net/sprites/home/normal/budew.png
407,Roserade,Grass,Poison,515,60,70,65,125,105,90,FALSE,4,https://img.pokemondb.net/sprites/home/normal/roserade.png
408,Cranidos,Rock,NA,350,67,125,40,30,30,58,FALSE,4,https://img.pokemondb.net/sprites/home/normal/cranidos.png
409,Rampardos,Rock,NA,495,97,165,60,65,50,58,FALSE,4,https://img.pokemondb.net/sprites/home/normal/rampardos.png
410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,FALSE,4,https://img.pokemondb.net/sprites/home/normal/shieldon.png
411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,FALSE,4,https://img.pokemondb.net/sprites/home/normal/bastiodon.png
412,Burmy Plant Cloak,Bug,NA,224,40,29,45,29,45,36,FALSE,4,https://img.pokemondb.net/sprites/home/normal/burmy-plant-cloak.png
412,Burmy Sandy Cloak,Bug,NA,224,40,29,45,29,45,36,FALSE,4,https://img.pokemondb.net/sprites/home/normal/burmy-sandy-cloak.png
412,Burmy Trash Cloak,Bug,NA,224,40,29,45,29,45,36,FALSE,4,https://img.pokemondb.net/sprites/home/normal/burmy-trash-cloak.png
413,Wormadam Plant Cloak,Bug,Grass,424,60,59,85,79,105,36,FALSE,4,https://img.pokemondb.net/sprites/home/normal/wormadam-plant-cloak.png
413,Wormadam Sandy Cloak,Bug,Ground,424,60,79,105,59,85,36,FALSE,4,https://img.pokemondb.net/sprites/home/normal/wormadam-sandy-cloak.png
413,Wormadam Trash Cloak,Bug,Steel,424,60,69,95,69,95,36,FALSE,4,https://img.pokemondb.net/sprites/home/normal/wormadam-trash-cloak.png
414,Mothim,Bug,Flying,424,70,94,50,94,50,66,FALSE,4,https://img.pokemondb.net/sprites/home/normal/mothim.png
415,Combee,Bug,Flying,244,30,30,42,30,42,70,FALSE,4,https://img.pokemondb.net/sprites/home/normal/combee.png
416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,FALSE,4,https://img.pokemondb.net/sprites/home/normal/vespiquen.png
417,Pachirisu,Electric,NA,405,60,45,70,45,90,95,FALSE,4,https://img.pokemondb.net/sprites/home/normal/pachirisu.png
418,Buizel,Water,NA,330,55,65,35,60,30,85,FALSE,4,https://img.pokemondb.net/sprites/home/normal/buizel.png
419,Floatzel,Water,NA,495,85,105,55,85,50,115,FALSE,4,https://img.pokemondb.net/sprites/home/normal/floatzel.png
420,Cherubi,Grass,NA,275,45,35,45,62,53,35,FALSE,4,https://img.pokemondb.net/sprites/home/normal/cherubi.png
421,Cherrim,Grass,NA,450,70,60,70,87,78,85,FALSE,4,https://img.pokemondb.net/sprites/home/normal/cherrim.png
422,Shellos,Water,NA,325,76,48,48,57,62,34,FALSE,4,https://img.pokemondb.net/sprites/home/normal/shellos.png
423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,FALSE,4,https://img.pokemondb.net/sprites/home/normal/gastrodon.png
424,Ambipom,Normal,NA,482,75,100,66,60,66,115,FALSE,4,https://img.pokemondb.net/sprites/home/normal/ambipom.png
425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,FALSE,4,https://img.pokemondb.net/sprites/home/normal/drifloon.png
426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,FALSE,4,https://img.pokemondb.net/sprites/home/normal/drifblim.png
427,Buneary,Normal,NA,350,55,66,44,44,56,85,FALSE,4,https://img.pokemondb.net/sprites/home/normal/buneary.png
428,Lopunny,Normal,NA,480,65,76,84,54,96,105,FALSE,4,https://img.pokemondb.net/sprites/home/normal/lopunny.png
428,Lopunny Mega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,FALSE,4,https://img.pokemondb.net/sprites/home/normal/lopunny-mega-lopunny.png
429,Mismagius,Ghost,NA,495,60,60,60,105,105,105,FALSE,4,https://img.pokemondb.net/sprites/home/normal/mismagius.png
430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,FALSE,4,https://img.pokemondb.net/sprites/home/normal/honchkrow.png
431,Glameow,Normal,NA,310,49,55,42,42,37,85,FALSE,4,https://img.pokemondb.net/sprites/home/normal/glameow.png
432,Purugly,Normal,NA,452,71,82,64,64,59,112,FALSE,4,https://img.pokemondb.net/sprites/home/normal/purugly.png
433,Chingling,Psychic,NA,285,45,30,50,65,50,45,FALSE,4,https://img.pokemondb.net/sprites/home/normal/chingling.png
434,Stunky,Poison,Dark,329,63,63,47,41,41,74,FALSE,4,https://img.pokemondb.net/sprites/home/normal/stunky.png
435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,FALSE,4,https://img.pokemondb.net/sprites/home/normal/skuntank.png
436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,FALSE,4,https://img.pokemondb.net/sprites/home/normal/bronzor.png
437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,FALSE,4,https://img.pokemondb.net/sprites/home/normal/bronzong.png
438,Bonsly,Rock,NA,290,50,80,95,10,45,10,FALSE,4,https://img.pokemondb.net/sprites/home/normal/bonsly.png
439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,FALSE,4,https://img.pokemondb.net/sprites/home/normal/mime-jr..png
440,Happiny,Normal,NA,220,100,5,5,15,65,30,FALSE,4,https://img.pokemondb.net/sprites/home/normal/happiny.png
441,Chatot,Normal,Flying,411,76,65,45,92,42,91,FALSE,4,https://img.pokemondb.net/sprites/home/normal/chatot.png
442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,FALSE,4,https://img.pokemondb.net/sprites/home/normal/spiritomb.png
443,Gible,Dragon,Ground,300,58,70,45,40,45,42,FALSE,4,https://img.pokemondb.net/sprites/home/normal/gible.png
444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,FALSE,4,https://img.pokemondb.net/sprites/home/normal/gabite.png
445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,FALSE,4,https://img.pokemondb.net/sprites/home/normal/garchomp.png
445,Garchomp Mega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,FALSE,4,https://img.pokemondb.net/sprites/home/normal/garchomp-mega-garchomp.png
446,Munchlax,Normal,NA,390,135,85,40,40,85,5,FALSE,4,https://img.pokemondb.net/sprites/home/normal/munchlax.png
447,Riolu,Fighting,NA,285,40,70,40,35,40,60,FALSE,4,https://img.pokemondb.net/sprites/home/normal/riolu.png
448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,FALSE,4,https://img.pokemondb.net/sprites/home/normal/lucario.png
448,Lucario Mega Lucario,Fighting,Steel,625,70,145,88,140,70,112,FALSE,4,https://img.pokemondb.net/sprites/home/normal/lucario-mega-lucario.png
449,Hippopotas,Ground,NA,330,68,72,78,38,42,32,FALSE,4,https://img.pokemondb.net/sprites/home/normal/hippopotas.png
450,Hippowdon,Ground,NA,525,108,112,118,68,72,47,FALSE,4,https://img.pokemondb.net/sprites/home/normal/hippowdon.png
451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,FALSE,4,https://img.pokemondb.net/sprites/home/normal/skorupi.png
452,Drapion,Poison,Dark,500,70,90,110,60,75,95,FALSE,4,https://img.pokemondb.net/sprites/home/normal/drapion.png
453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,FALSE,4,https://img.pokemondb.net/sprites/home/normal/croagunk.png
454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,FALSE,4,https://img.pokemondb.net/sprites/home/normal/toxicroak.png
455,Carnivine,Grass,NA,454,74,100,72,90,72,46,FALSE,4,https://img.pokemondb.net/sprites/home/normal/carnivine.png
456,Finneon,Water,NA,330,49,49,56,49,61,66,FALSE,4,https://img.pokemondb.net/sprites/home/normal/finneon.png
457,Lumineon,Water,NA,460,69,69,76,69,86,91,FALSE,4,https://img.pokemondb.net/sprites/home/normal/lumineon.png
458,Mantyke,Water,Flying,345,45,20,50,60,120,50,FALSE,4,https://img.pokemondb.net/sprites/home/normal/mantyke.png
459,Snover,Grass,Ice,334,60,62,50,62,60,40,FALSE,4,https://img.pokemondb.net/sprites/home/normal/snover.png
460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,FALSE,4,https://img.pokemondb.net/sprites/home/normal/abomasnow.png
460,Abomasnow Mega Abomasnow,Grass,Ice,594,90,132,105,132,105,30,FALSE,4,https://img.pokemondb.net/sprites/home/normal/abomasnow-mega-abomasnow.png
461,Weavile,Dark,Ice,510,70,120,65,45,85,125,FALSE,4,https://img.pokemondb.net/sprites/home/normal/weavile.png
462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,FALSE,4,https://img.pokemondb.net/sprites/home/normal/magnezone.png
463,Lickilicky,Normal,NA,515,110,85,95,80,95,50,FALSE,4,https://img.pokemondb.net/sprites/home/normal/lickilicky.png
464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,FALSE,4,https://img.pokemondb.net/sprites/home/normal/rhyperior.png
465,Tangrowth,Grass,NA,535,100,100,125,110,50,50,FALSE,4,https://img.pokemondb.net/sprites/home/normal/tangrowth.png
466,Electivire,Electric,NA,540,75,123,67,95,85,95,FALSE,4,https://img.pokemondb.net/sprites/home/normal/electivire.png
467,Magmortar,Fire,NA,540,75,95,67,125,95,83,FALSE,4,https://img.pokemondb.net/sprites/home/normal/magmortar.png
468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,FALSE,4,https://img.pokemondb.net/sprites/home/normal/togekiss.png
469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,FALSE,4,https://img.pokemondb.net/sprites/home/normal/yanmega.png
470,Leafeon,Grass,NA,525,65,110,130,60,65,95,FALSE,4,https://img.pokemondb.net/sprites/home/normal/leafeon.png
471,Glaceon,Ice,NA,525,65,60,110,130,95,65,FALSE,4,https://img.pokemondb.net/sprites/home/normal/glaceon.png
472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,FALSE,4,https://img.pokemondb.net/sprites/home/normal/gliscor.png
473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,FALSE,4,https://img.pokemondb.net/sprites/home/normal/mamoswine.png
474,Porygon-Z,Normal,NA,535,85,80,70,135,75,90,FALSE,4,https://img.pokemondb.net/sprites/home/normal/porygon-z.png
475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,FALSE,4,https://img.pokemondb.net/sprites/home/normal/gallade.png
475,Gallade Mega Gallade,Psychic,Fighting,618,68,165,95,65,115,110,FALSE,4,https://img.pokemondb.net/sprites/home/normal/gallade-mega-gallade.png
476,Probopass,Rock,Steel,525,60,55,145,75,150,40,FALSE,4,https://img.pokemondb.net/sprites/home/normal/probopass.png
477,Dusknoir,Ghost,NA,525,45,100,135,65,135,45,FALSE,4,https://img.pokemondb.net/sprites/home/normal/dusknoir.png
478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,FALSE,4,https://img.pokemondb.net/sprites/home/normal/froslass.png
479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,FALSE,4,https://img.pokemondb.net/sprites/home/normal/rotom.png
479,Rotom Heat Rotom,Electric,Fire,520,50,65,107,105,107,86,FALSE,4,https://img.pokemondb.net/sprites/home/normal/rotom-heat-rotom.png
479,Rotom Wash Rotom,Electric,Water,520,50,65,107,105,107,86,FALSE,4,https://img.pokemondb.net/sprites/home/normal/rotom-wash-rotom.png
479,Rotom Frost Rotom,Electric,Ice,520,50,65,107,105,107,86,FALSE,4,https://img.pokemondb.net/sprites/home/normal/rotom-frost-rotom.png
479,Rotom Fan Rotom,Electric,Flying,520,50,65,107,105,107,86,FALSE,4,https://img.pokemondb.net/sprites/home/normal/rotom-fan-rotom.png
479,Rotom Mow Rotom,Electric,Grass,520,50,65,107,105,107,86,FALSE,4,https://img.pokemondb.net/sprites/home/normal/rotom-mow-rotom.png
480,Uxie,Psychic,NA,580,75,75,130,75,130,95,TRUE,4,https://img.pokemondb.net/sprites/home/normal/uxie.png
481,Mesprit,Psychic,NA,580,80,105,105,105,105,80,TRUE,4,https://img.pokemondb.net/sprites/home/normal/mesprit.png
482,Azelf,Psychic,NA,580,75,125,70,125,70,115,TRUE,4,https://img.pokemondb.net/sprites/home/normal/azelf.png
483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,TRUE,4,https://img.pokemondb.net/sprites/home/normal/dialga.png
483,Dialga Origin Forme,Steel,Dragon,680,100,100,120,150,120,90,FALSE,4,https://img.pokemondb.net/sprites/home/normal/dialga-origin-forme.png
484,Palkia,Water,Dragon,680,90,120,100,150,120,100,TRUE,4,https://img.pokemondb.net/sprites/home/normal/palkia.png
484,Palkia Origin Forme,Water,Dragon,680,90,100,100,150,120,120,FALSE,4,https://img.pokemondb.net/sprites/home/normal/palkia-origin-forme.png
485,Heatran,Fire,Steel,600,91,90,106,130,106,77,TRUE,4,https://img.pokemondb.net/sprites/home/normal/heatran.png
486,Regigigas,Normal,NA,670,110,160,110,80,110,100,TRUE,4,https://img.pokemondb.net/sprites/home/normal/regigigas.png
487,Giratina Altered Forme,Ghost,Dragon,680,150,100,120,100,120,90,FALSE,4,https://img.pokemondb.net/sprites/home/normal/giratina-altered-forme.png
487,Giratina Origin Forme,Ghost,Dragon,680,150,120,100,120,100,90,FALSE,4,https://img.pokemondb.net/sprites/home/normal/giratina-origin-forme.png
488,Cresselia,Psychic,NA,600,120,70,120,75,130,85,TRUE,4,https://img.pokemondb.net/sprites/home/normal/cresselia.png
489,Phione,Water,NA,480,80,80,80,80,80,80,TRUE,4,https://img.pokemondb.net/sprites/home/normal/phione.png
490,Manaphy,Water,NA,600,100,100,100,100,100,100,TRUE,4,https://img.pokemondb.net/sprites/home/normal/manaphy.png
491,Darkrai,Dark,NA,600,70,90,90,135,90,125,TRUE,4,https://img.pokemondb.net/sprites/home/normal/darkrai.png
492,Shaymin Land Forme,Grass,NA,600,100,100,100,100,100,100,FALSE,4,https://img.pokemondb.net/sprites/home/normal/shaymin-land-forme.png
492,Shaymin Sky Forme,Grass,Flying,600,100,103,75,120,75,127,FALSE,4,https://img.pokemondb.net/sprites/home/normal/shaymin-sky-forme.png
493,Arceus,Normal,NA,720,120,120,120,120,120,120,TRUE,4,https://img.pokemondb.net/sprites/home/normal/arceus.png
494,Victini,Psychic,Fire,600,100,100,100,100,100,100,TRUE,5,https://img.pokemondb.net/sprites/home/normal/victini.png
495,Snivy,Grass,NA,308,45,45,55,45,55,63,FALSE,5,https://img.pokemondb.net/sprites/home/normal/snivy.png
496,Servine,Grass,NA,413,60,60,75,60,75,83,FALSE,5,https://img.pokemondb.net/sprites/home/normal/servine.png
497,Serperior,Grass,NA,528,75,75,95,75,95,113,FALSE,5,https://img.pokemondb.net/sprites/home/normal/serperior.png
498,Tepig,Fire,NA,308,65,63,45,45,45,45,FALSE,5,https://img.pokemondb.net/sprites/home/normal/tepig.png
499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,FALSE,5,https://img.pokemondb.net/sprites/home/normal/pignite.png
500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,FALSE,5,https://img.pokemondb.net/sprites/home/normal/emboar.png
501,Oshawott,Water,NA,308,55,55,45,63,45,45,FALSE,5,https://img.pokemondb.net/sprites/home/normal/oshawott.png
502,Dewott,Water,NA,413,75,75,60,83,60,60,FALSE,5,https://img.pokemondb.net/sprites/home/normal/dewott.png
503,Samurott,Water,NA,528,95,100,85,108,70,70,FALSE,5,https://img.pokemondb.net/sprites/home/normal/samurott.png
503,Samurott Hisuian Samurott,Water,Dark,528,90,108,80,100,65,85,FALSE,5,https://img.pokemondb.net/sprites/home/normal/samurott-hisuian-samurott.png
504,Patrat,Normal,NA,255,45,55,39,35,39,42,FALSE,5,https://img.pokemondb.net/sprites/home/normal/patrat.png
505,Watchog,Normal,NA,420,60,85,69,60,69,77,FALSE,5,https://img.pokemondb.net/sprites/home/normal/watchog.png
506,Lillipup,Normal,NA,275,45,60,45,25,45,55,FALSE,5,https://img.pokemondb.net/sprites/home/normal/lillipup.png
507,Herdier,Normal,NA,370,65,80,65,35,65,60,FALSE,5,https://img.pokemondb.net/sprites/home/normal/herdier.png
508,Stoutland,Normal,NA,500,85,110,90,45,90,80,FALSE,5,https://img.pokemondb.net/sprites/home/normal/stoutland.png
509,Purrloin,Dark,NA,281,41,50,37,50,37,66,FALSE,5,https://img.pokemondb.net/sprites/home/normal/purrloin.png
510,Liepard,Dark,NA,446,64,88,50,88,50,106,FALSE,5,https://img.pokemondb.net/sprites/home/normal/liepard.png
511,Pansage,Grass,NA,316,50,53,48,53,48,64,FALSE,5,https://img.pokemondb.net/sprites/home/normal/pansage.png
512,Simisage,Grass,NA,498,75,98,63,98,63,101,FALSE,5,https://img.pokemondb.net/sprites/home/normal/simisage.png
513,Pansear,Fire,NA,316,50,53,48,53,48,64,FALSE,5,https://img.pokemondb.net/sprites/home/normal/pansear.png
514,Simisear,Fire,NA,498,75,98,63,98,63,101,FALSE,5,https://img.pokemondb.net/sprites/home/normal/simisear.png
